"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.119388720E-1,-5.460000038E-1,1.000500011E1,4.560000002E-1,1.003025819E1
5.169507180E-1,-4.309999943E-1,9.928000450E0,5.320000052E-1,9.951581680E0
5.219609490E-1,-3.549999893E-1,1.000500011E1,6.470000148E-1,1.003218128E1
5.269683470E-1,-2.399999946E-1,9.967000008E0,6.090000272E-1,9.988471864E0
5.319758860E-1,-2.399999946E-1,9.928000450E0,6.470000148E-1,9.951954680E0
5.369845780E-1,-2.399999946E-1,9.890000343E0,6.850000024E-1,9.916598802E0
5.419943570E-1,-1.630000025E-1,9.890000343E0,8.389999866E-1,9.926862383E0
5.470040500E-1,2.800000086E-2,9.774999619E0,7.620000243E-1,9.804695078E0
5.520133480E-1,1.040000021E-1,9.812999725E0,8.389999866E-1,9.849350262E0
5.570220400E-1,1.430000067E-1,9.890000343E0,8.000000119E-1,9.923333906E0
5.620307220E-1,1.430000067E-1,9.852000237E0,9.539999962E-1,9.899114791E0
5.670395680E-1,2.189999968E-1,9.774999619E0,1.106999993E0,9.839920098E0
5.720487550E-1,3.339999914E-1,9.659999847E0,1.182999969E0,9.737897205E0
5.770569860E-1,5.260000229E-1,9.697999954E0,1.259999990E0,9.793644833E0
5.820656490E-1,3.720000088E-1,9.852000237E0,1.182999969E0,9.929742272E0
5.870746490E-1,4.869999886E-1,9.812999725E0,1.375000000E0,9.920824441E0
5.920831980E-1,4.490000010E-1,9.737000465E0,1.565999985E0,9.872341922E0
5.970920440E-1,3.720000088E-1,9.812999725E0,1.565999985E0,9.944129101E0
6.021012610E-1,2.569999993E-1,9.928000450E0,1.643000007E0,1.006631467E1
6.071103380E-1,1.809999943E-1,9.890000343E0,1.796000004E0,1.005338171E1
6.121194950E-1,1.040000021E-1,9.852000237E0,1.720000029E0,1.000155612E1
6.171286490E-1,-4.800000042E-2,9.928000450E0,1.565999985E0,1.005086329E1
6.221382650E-1,-1.250000000E-1,9.852000237E0,1.490000010E0,9.964819802E0
6.271472990E-1,-1.250000000E-1,9.737000465E0,1.375000000E0,9.834400239E0
6.321555300E-1,-3.160000145E-1,9.812999725E0,1.259999990E0,9.898606952E0
6.371619140E-1,-2.779999971E-1,9.812999725E0,1.222000003E0,9.892700926E0
6.421685350E-1,-3.160000145E-1,9.890000343E0,9.539999962E-1,9.940929473E0
6.471751500E-1,-2.779999971E-1,9.890000343E0,9.150000215E-1,9.936126802E0
6.521823130E-1,-2.399999946E-1,9.967000008E0,8.000000119E-1,1.000193427E1
6.571890820E-1,-2.399999946E-1,1.000500011E1,7.620000243E-1,1.003684569E1
6.621957020E-1,-2.399999946E-1,9.928000450E0,7.239999771E-1,9.957257097E0
6.672047020E-1,-2.010000050E-1,1.000500011E1,6.090000272E-1,1.002553287E1
6.722132460E-1,-1.250000000E-1,1.004300022E1,5.320000052E-1,1.005785775E1
6.772220920E-1,-1.250000000E-1,1.004300022E1,6.090000272E-1,1.006222438E1
6.822312550E-1,-8.600000292E-2,9.928000450E0,5.699999928E-1,9.944721662E0
6.872405630E-1,-8.600000292E-2,1.004300022E1,6.470000148E-1,1.006418693E1
6.922492510E-1,-8.600000292E-2,1.000500011E1,6.850000024E-1,1.002879097E1
6.972563280E-1,-1.630000025E-1,1.004300022E1,7.620000243E-1,1.007318552E1
7.022635580E-1,-3.160000145E-1,9.967000008E0,8.000000119E-1,1.000404644E1
7.072711730E-1,-2.779999971E-1,9.967000008E0,8.769999743E-1,1.000937071E1
7.122797890E-1,-3.160000145E-1,9.967000008E0,1.029999971E0,1.002506085E1
7.172872550E-1,-4.309999943E-1,9.967000008E0,9.919999838E-1,1.002551316E1
7.222944860E-1,-3.930000067E-1,9.928000450E0,1.144999981E0,1.000153323E1
7.273014910E-1,-4.690000117E-1,9.928000450E0,1.222000003E0,1.001391222E1
7.323087990E-1,-4.309999943E-1,1.000500011E1,1.259999990E0,1.009323478E1
7.373161830E-1,-4.309999943E-1,9.967000008E0,1.337000012E0,1.006550640E1
7.423217170E-1,-4.690000117E-1,1.000500011E1,1.259999990E0,1.009492884E1
7.473289470E-1,-4.309999943E-1,9.967000008E0,1.182999969E0,1.004621018E1
7.523364090E-1,-3.549999893E-1,9.967000008E0,1.182999969E0,1.004323668E1
7.573437170E-1,-2.399999946E-1,9.928000450E0,1.182999969E0,1.000111403E1
7.623505770E-1,-2.779999971E-1,1.000500011E1,1.067999959E0,1.006568106E1
7.673575000E-1,-3.160000145E-1,1.008199978E1,1.144999981E0,1.015172894E1
7.723656640E-1,-2.399999946E-1,1.011999989E1,1.067999959E0,1.017902852E1
7.773754330E-1,-2.779999971E-1,1.000500011E1,1.106999993E0,1.006989376E1
7.823845870E-1,-3.160000145E-1,9.967000008E0,9.539999962E-1,1.001753768E1
7.873922070E-1,-3.160000145E-1,9.890000343E0,9.919999838E-1,9.944648147E0
7.923992070E-1,-3.160000145E-1,9.967000008E0,8.000000119E-1,1.000404644E1
7.974054380E-1,-3.930000067E-1,9.967000008E0,8.389999866E-1,1.000996799E1
8.024121250E-1,-4.309999943E-1,1.004300022E1,8.000000119E-1,1.008402769E1
8.074208180E-1,-6.230000257E-1,1.008199978E1,8.769999743E-1,1.013922963E1
8.124294760E-1,-5.839999914E-1,1.004300022E1,8.389999866E-1,1.009489130E1
8.174399380E-1,-6.610000134E-1,1.004300022E1,8.769999743E-1,1.010286610E1
8.224481540E-1,-8.140000105E-1,1.004300022E1,8.000000119E-1,1.010764312E1
8.274564620E-1,-8.140000105E-1,1.008199978E1,6.470000148E-1,1.013547851E1
8.324653030E-1,-6.990000010E-1,1.008199978E1,6.850000024E-1,1.012939019E1
8.374739190E-1,-6.610000134E-1,1.004300022E1,6.090000272E-1,1.008313719E1
8.424833800E-1,-5.839999914E-1,1.004300022E1,6.470000148E-1,1.008074990E1
8.474924570E-1,-4.690000117E-1,1.004300022E1,5.699999928E-1,1.007009009E1
8.525006880E-1,-3.549999893E-1,1.008199978E1,6.470000148E-1,1.010897391E1
8.575094620E-1,-2.779999971E-1,1.011999989E1,7.239999771E-1,1.014967279E1
8.625180780E-1,-2.779999971E-1,1.008199978E1,6.850000024E-1,1.010906665E1
8.675264570E-1,-2.399999946E-1,1.004300022E1,6.850000024E-1,1.006919453E1
8.725350730E-1,-3.549999893E-1,1.004300022E1,7.239999771E-1,1.007531907E1
8.775440730E-1,-2.779999971E-1,1.008199978E1,7.620000243E-1,1.011457600E1
8.825516830E-1,-2.399999946E-1,1.004300022E1,8.389999866E-1,1.008084195E1
8.875582980E-1,-1.250000000E-1,1.004300022E1,7.620000243E-1,1.007264228E1
8.925652260E-1,-2.010000050E-1,1.008199978E1,8.769999743E-1,1.012206745E1
8.975713800E-1,-2.010000050E-1,1.008199978E1,9.539999962E-1,1.012902940E1
9.025772210E-1,-1.630000025E-1,1.008199978E1,9.150000215E-1,1.012474758E1
9.075837600E-1,-3.160000145E-1,1.019600010E1,9.150000215E-1,1.024185037E1
9.125899050E-1,-5.080000162E-1,1.015799999E1,1.067999959E0,1.022661487E1
9.175965200E-1,-5.080000162E-1,1.008199978E1,1.067999959E0,1.015112838E1
9.226033660E-1,-6.990000010E-1,1.011999989E1,1.106999993E0,1.020433475E1
9.276111560E-1,-6.230000257E-1,1.004300022E1,1.067999959E0,1.011882436E1
9.326204630E-1,-6.990000010E-1,1.004300022E1,1.029999971E0,1.011984952E1
9.376290790E-1,-6.610000134E-1,1.004300022E1,1.029999971E0,1.011729580E1
9.426382420E-1,-5.460000038E-1,1.011999989E1,9.539999962E-1,1.017952011E1
9.476471650E-1,-4.309999943E-1,9.967000008E0,8.389999866E-1,1.001153191E1
9.526550110E-1,-4.309999943E-1,1.000500011E1,8.769999743E-1,1.005260748E1
9.576614720E-1,-3.930000067E-1,1.004300022E1,8.769999743E-1,1.008887662E1
9.626686410E-1,-2.399999946E-1,1.004300022E1,9.150000215E-1,1.008745154E1
9.676761030E-1,-1.630000025E-1,9.928000450E0,9.150000215E-1,9.971408475E0
9.726834960E-1,-2.010000050E-1,1.000500011E1,9.539999962E-1,1.005238998E1
9.776904960E-1,-1.250000000E-1,1.004300022E1,9.919999838E-1,1.009264794E1
9.826985880E-1,-1.250000000E-1,1.004300022E1,1.029999971E0,1.009645375E1
9.877066650E-1,2.800000086E-2,1.004300022E1,9.919999838E-1,1.009191267E1
9.927158330E-1,-9.999999776E-3,1.000500011E1,9.539999962E-1,1.005038523E1
9.977244490E-1,2.800000086E-2,1.008199978E1,9.539999962E-1,1.012707359E1
1.002733521E0,2.800000086E-2,9.928000450E0,9.539999962E-1,9.973770247E0
1.007742444E0,-8.600000292E-2,1.000500011E1,8.000000119E-1,1.003730160E1
1.012750160E0,-4.800000042E-2,9.928000450E0,9.919999838E-1,9.977552852E0
1.017757006E0,-8.600000292E-2,9.967000008E0,9.539999962E-1,1.001292171E1
1.022763790E0,-8.600000292E-2,9.928000450E0,9.150000215E-1,9.970447030E0
1.027770636E0,-1.630000025E-1,9.928000450E0,8.389999866E-1,9.964721919E0
1.032777550E0,-8.600000292E-2,9.928000450E0,6.090000272E-1,9.947033225E0
1.037784473E0,-1.630000025E-1,9.890000343E0,6.850000024E-1,9.915034079E0
1.042792550E0,-9.999999776E-3,9.812999725E0,6.470000148E-1,9.834310989E0
1.047802151E0,6.599999964E-2,9.928000450E0,5.320000052E-1,9.942463123E0
1.052811536E0,1.040000021E-1,9.852000237E0,5.699999928E-1,9.869023490E0
1.057820401E0,-9.999999776E-3,9.967000008E0,7.239999771E-1,9.993265989E0
1.062830247E0,-4.800000042E-2,1.004300022E1,8.000000119E-1,1.007492717E1
1.067839799E0,-8.600000292E-2,1.000500011E1,9.150000215E-1,1.004712140E1
1.072848799E0,-2.010000050E-1,1.008199978E1,9.150000215E-1,1.012543064E1
1.077857876E0,-2.010000050E-1,1.008199978E1,1.029999971E0,1.013646982E1
1.082866799E0,-2.779999971E-1,1.004300022E1,9.919999838E-1,1.009570213E1
1.087875876E0,-2.779999971E-1,1.000500011E1,1.029999971E0,1.006172009E1
1.092885184E0,-3.549999893E-1,9.967000008E0,1.029999971E0,1.002636595E1
1.097894184E0,-3.930000067E-1,9.928000450E0,1.067999959E0,9.993010850E0
1.102902870E0,-4.309999943E-1,9.967000008E0,9.919999838E-1,1.002551316E1
1.107911640E0,-4.309999943E-1,9.928000450E0,1.067999959E0,9.994577422E0
1.112920713E0,-4.309999943E-1,9.967000008E0,1.067999959E0,1.003331820E1
1.117929405E0,-3.930000067E-1,1.000500011E1,1.067999959E0,1.006951340E1
1.122938544E0,-4.309999943E-1,1.000500011E1,1.144999981E0,1.007952446E1
1.127947698E0,-4.309999943E-1,1.000500011E1,1.144999981E0,1.007952446E1
1.132957155E0,-4.309999943E-1,9.928000450E0,1.222000003E0,1.001220445E1
1.137966848E0,-2.779999971E-1,9.890000343E0,1.222000003E0,9.969085956E0
1.142976092E0,-1.630000025E-1,9.852000237E0,1.182999969E0,9.924110368E0
1.147985015E0,-1.250000000E-1,9.928000450E0,1.144999981E0,9.994590682E0
1.152992223E0,-1.250000000E-1,9.928000450E0,1.144999981E0,9.994590682E0
1.157999915E0,6.599999964E-2,9.967000008E0,1.106999993E0,1.002850408E1
1.163007444E0,1.040000021E-1,9.928000450E0,9.919999838E-1,9.977979400E0
1.168015213E0,1.809999943E-1,9.852000237E0,7.620000243E-1,9.883082196E0
1.173024521E0,1.809999943E-1,9.890000343E0,8.000000119E-1,9.923954243E0
1.178033906E0,1.430000067E-1,9.928000450E0,7.620000243E-1,9.958227050E0
1.183043112E0,1.430000067E-1,9.928000450E0,6.850000024E-1,9.952631157E0
1.188052035E0,1.430000067E-1,1.000500011E1,5.699999928E-1,1.002224407E1
1.193059016E0,-4.800000042E-2,9.967000008E0,5.699999928E-1,9.983400881E0
1.198066016E0,-1.250000000E-1,9.928000450E0,5.320000052E-1,9.943029817E0
1.203073025E0,-2.779999971E-1,1.000500011E1,5.699999928E-1,1.002507912E1
1.208079641E0,-4.309999943E-1,1.004300022E1,6.470000148E-1,1.007304440E1
1.213086511E0,-6.230000257E-1,9.967000008E0,6.850000024E-1,1.000991724E1
1.218095203E0,-7.760000229E-1,1.000500011E1,6.850000024E-1,1.005840088E1
1.223103728E0,-8.140000105E-1,1.000500011E1,8.000000119E-1,1.006988696E1
1.228112805E0,-8.529999852E-1,1.000500011E1,8.389999866E-1,1.007628688E1
1.233121699E0,-8.909999728E-1,1.008199978E1,9.539999962E-1,1.016615544E1
1.238130391E0,-8.909999728E-1,1.011999989E1,9.150000215E-1,1.020026978E1
1.243139160E0,-7.760000229E-1,1.004300022E1,9.150000215E-1,1.011440826E1
1.248148237E0,-5.839999914E-1,1.008199978E1,8.769999743E-1,1.013690803E1
1.253157261E0,-6.610000134E-1,1.004300022E1,9.539999962E-1,1.010984127E1
1.258166184E0,-5.460000038E-1,1.008199978E1,8.000000119E-1,1.012841723E1
1.263174871E0,-5.080000162E-1,1.008199978E1,7.239999771E-1,1.012071932E1
1.268184102E0,-4.309999943E-1,1.011999989E1,8.389999866E-1,1.016386145E1
1.273193712E0,-4.309999943E-1,1.011999989E1,8.769999743E-1,1.016706878E1
1.278202866E0,-4.690000117E-1,1.011999989E1,8.000000119E-1,1.016239926E1
1.283212168E0,-4.690000117E-1,1.004300022E1,9.150000215E-1,1.009549600E1
1.288221861E0,-5.080000162E-1,1.004300022E1,8.769999743E-1,1.009401042E1
1.293231453E0,-5.460000038E-1,1.008199978E1,8.000000119E-1,1.012841723E1
1.298239453E0,-5.839999914E-1,1.000500011E1,8.000000119E-1,1.005390886E1
1.303246752E0,-6.230000257E-1,1.004300022E1,6.470000148E-1,1.008308442E1
1.308254983E0,-6.610000134E-1,9.967000008E0,9.150000215E-1,1.003071459E1
1.313264069E0,-5.839999914E-1,1.000500011E1,8.769999743E-1,1.006032863E1
1.318272761E0,-6.230000257E-1,9.890000343E0,7.239999771E-1,9.936015891E0
1.323281521E0,-5.839999914E-1,9.928000450E0,7.620000243E-1,9.974311654E0
1.328290521E0,-5.839999914E-1,9.928000450E0,7.239999771E-1,9.971480577E0
1.333299689E0,-5.080000162E-1,9.890000343E0,7.620000243E-1,9.932311657E0
1.338308458E0,-5.080000162E-1,9.967000008E0,8.389999866E-1,1.001514224E1
1.343317074E0,-3.930000067E-1,9.852000237E0,7.620000243E-1,9.889236659E0
1.348326151E0,-4.309999943E-1,9.928000450E0,7.239999771E-1,9.963690576E0
1.353335164E0,-3.549999893E-1,9.852000237E0,8.769999743E-1,9.897326033E0
1.358344779E0,-3.930000067E-1,9.967000008E0,8.769999743E-1,1.001322461E1
1.363354020E0,-2.010000050E-1,9.967000008E0,9.150000215E-1,1.001092979E1
1.368362943E0,-2.779999971E-1,9.967000008E0,8.769999743E-1,1.000937071E1
1.373372087E0,-2.399999946E-1,1.000500011E1,8.769999743E-1,1.004623095E1
1.378381318E0,-2.399999946E-1,1.004300022E1,1.067999959E0,1.010247877E1
1.383390548E0,-2.399999946E-1,1.000500011E1,1.222000003E0,1.008220766E1
1.388399856E0,-2.779999971E-1,9.967000008E0,1.106999993E0,1.003213946E1
1.393409010E0,-1.630000025E-1,1.000500011E1,1.144999981E0,1.007162456E1
1.398418010E0,-2.399999946E-1,9.967000008E0,1.222000003E0,1.004449965E1
1.403427347E0,-1.630000025E-1,1.008199978E1,1.144999981E0,1.014811872E1
1.408436654E0,-8.600000292E-2,1.000500011E1,9.919999838E-1,1.005442625E1
1.413446116E0,-2.010000050E-1,1.000500011E1,1.029999971E0,1.005988709E1
1.418455424E0,-2.010000050E-1,1.000500011E1,9.919999838E-1,1.005606744E1
1.423464712E0,-1.630000025E-1,1.000500011E1,8.769999743E-1,1.004468642E1
