"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.254227510E-1,4.869999886E-1,8.663999557E0,5.243999958E0,1.013911204E1
5.304285200E-1,5.640000105E-1,8.548999786E0,5.205999851E0,1.002526448E1
5.354345630E-1,5.640000105E-1,8.626000404E0,5.243999958E0,1.011066341E1
5.404409480E-1,5.260000229E-1,8.510999680E0,5.282000065E0,1.003061894E1
5.454474150E-1,5.640000105E-1,8.510999680E0,5.205999851E0,9.992879766E0
5.504542610E-1,5.260000229E-1,8.586999893E0,5.243999958E0,1.007535502E1
5.554625820E-1,6.019999981E-1,8.586999893E0,5.129000187E0,1.002026018E1
5.604691210E-1,5.260000229E-1,8.548999786E0,5.091000080E0,9.963952789E0
5.654749580E-1,5.640000105E-1,8.510999680E0,5.052999973E0,9.914031485E0
5.704814200E-1,4.869999886E-1,8.586999893E0,5.013999939E0,9.955598000E0
5.754875970E-1,4.490000010E-1,8.510999680E0,5.013999939E0,9.888321998E0
5.804937510E-1,4.869999886E-1,8.434000015E0,5.013999939E0,9.823936107E0
5.855002900E-1,3.339999914E-1,8.472999573E0,4.938000202E0,9.812600254E0
5.905070590E-1,3.720000088E-1,8.548999786E0,5.052999973E0,9.937635035E0
5.955132220E-1,4.869999886E-1,8.434000015E0,5.091000080E0,9.863458170E0
6.005197600E-1,5.260000229E-1,8.434000015E0,4.975999832E0,9.806610353E0
6.055263760E-1,5.640000105E-1,8.548999786E0,5.091000080E0,9.966031064E0
6.105322220E-1,4.869999886E-1,8.586999893E0,5.013999939E0,9.955598000E0
6.155387360E-1,5.260000229E-1,8.548999786E0,5.243999958E0,1.004298805E1
6.205446590E-1,6.019999981E-1,8.626000404E0,5.243999958E0,1.011285432E1
6.255519710E-1,5.640000105E-1,8.472999573E0,5.359000206E0,1.004134956E1
6.305602020E-1,6.019999981E-1,8.510999680E0,5.359000206E0,1.007563411E1
6.355685240E-1,5.260000229E-1,8.395999908E0,5.435999870E0,1.001596651E1
6.405769850E-1,5.640000105E-1,8.434000015E0,5.435999870E0,1.004990283E1
6.455859900E-1,5.640000105E-1,8.434000015E0,5.435999870E0,1.004990283E1
6.505940670E-1,4.869999886E-1,8.434000015E0,5.243999958E0,9.943292252E0
6.556019800E-1,4.110000134E-1,8.395999908E0,5.282000065E0,9.927802383E0
6.606098270E-1,4.110000134E-1,8.434000015E0,5.435999870E0,1.004247837E1
6.656180730E-1,4.869999886E-1,8.434000015E0,5.435999870E0,1.004587576E1
6.706264580E-1,5.260000229E-1,8.434000015E0,5.359000206E0,1.000639373E1
6.756355730E-1,6.019999981E-1,8.548999786E0,5.396999836E0,1.012795184E1
6.806434960E-1,5.260000229E-1,8.510999680E0,5.359000206E0,1.007137899E1
6.856503570E-1,5.260000229E-1,8.510999680E0,5.243999958E0,1.001066067E1
6.906558190E-1,4.869999886E-1,8.548999786E0,5.205999851E0,1.002122751E1
6.956615110E-1,4.869999886E-1,8.626000404E0,5.129000187E0,1.004747206E1
7.006672940E-1,5.640000105E-1,8.472999573E0,5.091000080E0,9.900914078E0
7.056742940E-1,6.409999728E-1,8.510999680E0,5.166999817E0,9.977268345E0
7.106826020E-1,5.260000229E-1,8.510999680E0,5.166999817E0,9.970540541E0
7.156901400E-1,4.869999886E-1,8.395999908E0,5.129000187E0,9.850717048E0
7.206959630E-1,4.869999886E-1,8.319000244E0,5.166999817E0,9.805142587E0
7.257015780E-1,3.339999914E-1,8.395999908E0,5.205999851E0,9.884675256E0
7.307068180E-1,3.720000088E-1,8.357999802E0,5.166999817E0,9.833230995E0
7.357132020E-1,3.339999914E-1,8.281000137E0,5.166999817E0,9.766494068E0
7.407214380E-1,2.960000038E-1,8.281000137E0,5.243999958E0,9.806228370E0
7.457303610E-1,4.110000134E-1,8.357999802E0,5.243999958E0,9.875455294E0
7.507384430E-1,2.960000038E-1,8.319000244E0,5.396999836E0,9.920735270E0
7.557466740E-1,4.490000010E-1,8.395999908E0,5.435999870E0,1.001221804E1
7.607545970E-1,4.869999886E-1,8.243000031E0,5.473999977E0,9.907012377E0
7.657623030E-1,4.110000134E-1,8.357999802E0,5.473999977E0,9.999487859E0
7.707703030E-1,4.869999886E-1,8.357999802E0,5.396999836E0,9.960970681E0
7.757782270E-1,4.869999886E-1,8.319000244E0,5.359000206E0,9.907664571E0
7.807866880E-1,4.110000134E-1,8.357999802E0,5.359000206E0,9.936999794E0
7.857946400E-1,4.110000134E-1,8.281000137E0,5.321000099E0,9.851747375E0
7.908027940E-1,3.339999914E-1,8.357999802E0,5.359000206E0,9.934112939E0
7.958107800E-1,3.339999914E-1,8.357999802E0,5.396999836E0,9.954663425E0
8.008191650E-1,2.960000038E-1,8.281000137E0,5.359000206E0,9.868204623E0
8.058275440E-1,2.960000038E-1,8.243000031E0,5.321000099E0,9.815686810E0
8.108360060E-1,2.960000038E-1,8.281000137E0,5.396999836E0,9.888892077E0
8.158446930E-1,2.569999993E-1,8.357999802E0,5.282000065E0,9.890487064E0
8.208533080E-1,2.189999968E-1,8.357999802E0,5.396999836E0,9.951468681E0
8.258617800E-1,2.960000038E-1,8.243000031E0,5.396999836E0,9.857092509E0
